subcategoria,producto,marca,presentacion,mercado,precio
Aguas Gasificadas,Agua Gasificada Sparkling Limon,Minalba,500 ml,Kalea,1.48
Aguas Gasificadas,Agua Gasificada Sparkling Limon,Minalba,500 ml,Unicasa,2.98
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Automercado Santa Paula,1.42
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Automercado Santa Rosa,1.45
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Central Madeirense,1.68
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Farmatodo,1.27
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Gama,1.48
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Kalea,1.4
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Locatel,1.37
Aguas Gasificadas,Agua Gasificada Sparkling Toronja,Minalba,500 ml,Plazas,1.4
Aguas Gasificadas,Agua Gasificada,San Pellegrino,1000 ml,Celicor Boutique,6.25
Aguas Gasificadas,Agua Gasificada,San Pellegrino,250 ml,Bodegon Be Plus Santa Fe,2.0
Aguas Gasificadas,Agua Gasificada,San Pellegrino,250 ml,Celicor Boutique,3.25
Aguas Gasificadas,Agua Gasificada,San Pellegrino,505 ml,Bodegon Be Plus Santa Fe,3.5
Aguas Gasificadas,Agua Gasificada,San Pellegrino,505 ml,Celicor Boutique,4.25
Aguas Gasificadas,Agua Gasificada,San Pellegrino,750 ml,Celicor Boutique,6.5
Aguas Minerales,Agua Mineral,Acqua Panna,1000 ml,Celicor Boutique,5.25
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Automercado Santa Rosa,2.1
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Central Madeirense,1.98
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Farmatodo,1.84
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Ferreterias EPA,2.05
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Forum,2.05
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Gama,2.05
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Kalea,2.09
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Locatel,1.69
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Plazas,1.86
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Rio Supermarket,1.5
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Unicasa,2.12
Aguas Minerales,Agua Mineral,Minalba,1500 ml,Viva Supercentro,1.93
Aguas Minerales,Agua Mineral,Minalba,600 ml,Automercado Santa Paula,1.11
Aguas Minerales,Agua Mineral,Minalba,600 ml,Automercado Santa Rosa,1.15
Aguas Minerales,Agua Mineral,Minalba,600 ml,Central Madeirense,1.1
Aguas Minerales,Agua Mineral,Minalba,600 ml,Farmatodo,0.99
